family,rsa_mean,rsa_sd,mean_in_seed_sd,rsa_abs_max,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,frac_of_ceiling_abs_max,p_equivalence_tost,equivalent_to_zero
pico-decoder-tiny,0.005515758893902021,0.003943342280334144,,0.0434304013461065,,,,False,0.20384021915095824,3.839540394622379e-09,True
beetle-humanscale-eng,0.0008290919926303544,0.005232896971515949,,0.0398449627128697,,,,False,0.18407456075477854,1.3672334460075725e-08,True
pico-decoder-large,-0.001325061401003119,0.00838773881258168,,0.0520851049783434,,,,False,0.24978394499734183,3.798739730601604e-07,True
pico-decoder-small,-0.0027559315668600503,0.011502268354256995,,0.0523409385907953,,,,False,0.2821950310896572,3.950278125449435e-06,True
pythia-70m-full,-0.0035789103995827213,0.006723650465640079,,0.0518542180553456,,,,False,0.2395545575134207,1.1523307737916e-07,True
pico-decoder-medium,-0.003935882557525888,0.007332019197842153,,0.0350972320097667,,,,False,0.15873536194415563,2.2045728540911114e-07,True
pythia-410m-full,-0.004884689604800396,0.008619516517314353,,0.0379622999571536,,,,False,0.18994685862939809,7.683335092133994e-07,True
pythia-1b-full,-0.007007137786425681,0.010625099497736826,,0.0482334070058872,,,,False,0.2179315131090436,4.366220139716945e-06,True
beetle-fineweb3-eng,-0.0073784662058804405,0.005143243189498322,,0.0568897435388491,,,,False,0.26281752674305464,3.266457753503594e-08,True
pythia-1.4b-full,-0.010245378515753759,0.007299462854144574,,0.048211803064972,,,,False,0.18310372992647272,5.860846164078167e-07,True
babylm-gpt2,-0.012175208620479692,0.012444785769524782,,0.0420399979592656,,,,False,0.20161073962146692,2.870917409500936e-05,True
pythia-160m-full,-0.014066228536740968,0.007678063596729266,,0.056836836786555,,,,False,0.24096013310486167,1.6414407393499643e-06,True
babylm-gpt2-5,-0.030783617674172592,0.020033569856578563,,0.0643537831294292,,,,False,0.13947074536306742,0.015032998265800646,True
babylm-gpt2-7,-0.03088198408650326,0.02012713427111413,,0.0622939418697273,,,,False,0.121657917987389,0.0156191852863961,True
babylm-gpt2-3,-0.031100438329945135,0.020510716020092846,,0.0653262949612016,,,,False,0.13178433887234905,0.01755220961573836,True
